close,sentiment,Percent Change,Category
7458.06,0.265762901,0.002114932,1
7442.32,0.284088084,0.002582462,1
7423.15,0.276660831,0.002294036,1
7406.16,0.290000086,0.000660697,1
7401.27,0.317728717,0.003484476,1
7375.57,0.265475879,-0.009114102,-1
7443.41,0.277527247,-0.003908937,-1
7472.62,0.283894766,0.00095372,1
7465.5,0.279203848,0.00328313,1
7441.07,0.287916854,-0.003914162,-1
7470.31,0.283459545,0.00750676,1
7414.65,0.249390729,0.009242182,1
7346.75,0.254426677,-0.001173291,-1
7355.38,0.231966994,0.00391445,1
7326.7,0.235919095,0.000214331,1
7325.13,0.226719439,-0.005449902,-1
7365.27,0.250216571,0.005260191,1
7326.73,0.254484525,0.001943243,1
7312.52,0.266938617,-0.005379437,-1
7352.07,0.273712712,0.021587642,1
7196.71,0.254053633,0.062165062,1
6775.51,0.249621308,-0.003095688,-1
6796.55,0.244914273,0.008804806,1
6737.23,0.231015837,0.003895045,1
6711.09,0.209400279,-0.00090663,-1
6717.18,0.22633233,0.002469917,1
6700.63,0.242780013,-0.004467589,-1
6730.7,0.249108918,0.002535122,1
6713.68,0.232516204,-0.002687258,-1
6731.77,0.229415916,0.003700639,1
6706.95,0.233918162,0.0030404,1
6686.62,0.25348249,-0.002601409,-1
6704.06,0.235815749,-0.003100413,-1
6724.91,0.226616157,-0.004230412,-1
6753.48,0.236254136,0.000868454,1
6747.62,0.231871232,0.001909496,1
6734.76,0.227674286,-0.002476494,-1
6751.48,0.234327301,0.001621529,1
6740.55,0.281453163,0.008036717,1
6686.81,0.249272894,0.001145354,1
6679.16,0.22307692,0.000435873,1
6676.25,0.271694207,-0.002229804,-1
6691.17,0.231901113,0.001604682,1
6680.45,0.274658973,0.000173671,1
6679.29,0.253919771,0.006877038,1
6633.67,0.263096212,-0.00122557,-1
6641.81,0.284939014,0.000439833,1
6638.89,0.28393158,0.005499365,1
6602.58,0.292527299,-0.002114389,-1
6616.57,0.265421995,-0.003732669,-1
6641.36,0.292966423,0.012984596,1
6556.23,0.315421505,0.002602761,1
6539.21,0.284806962,0.022678365,1
6394.2,0.33872077,0.002214709,1
6380.07,0.3198684,-0.000161414,-1
6381.1,0.355745885,0.000540952,1
6377.65,0.338386833,0.000337228,1
6375.5,0.299157919,-0.000111351,-1
6376.21,0.263138292,0.000293364,1
6374.34,0.25909468,0.001846732,1
6362.59,0.231529459,-0.000573337,-1
6366.24,0.2381532,0.000311112,1
6364.26,0.237547139,-0.002874999,-1
6382.61,0.231120194,-0.00091415,-1
6388.45,0.288042593,-0.000794553,-1
6393.53,0.305198275,0.002618856,1
6376.83,0.300826577,0.003765204,1
6352.91,0.323895435,-0.00650092,-1
6394.48,0.30477181,-0.000514242,-1
6397.77,0.313337608,0.001483965,1
6388.29,0.344481611,0.004478121,1
6359.81,0.32655465,-0.001551096,-1
6369.69,0.327732217,0.003519579,1
6347.35,0.316630456,-0.00286384,-1
6365.58,0.249957394,0.002267295,1
6351.18,0.298829705,0.0051228,1
6318.81,0.35263232,-0.001887609,-1
6330.76,0.31195902,0.005968347,1
6293.2,0.294858679,-0.000617746,-1
6297.09,0.278470392,0.000455974,1
6294.22,0.287537166,0.001739535,1
6283.29,0.246560281,0.001916677,1
6271.27,0.258628356,0.001782716,1
6260.11,0.275588434,0.000399514,1
6257.61,0.270844542,-0.001069551,-1
6264.31,0.242174808,-0.000708275,-1
6268.75,0.214090307,-9.41088E-05,-1
6269.34,0.22267955,-0.000812822,-1
6274.44,0.213872668,-0.001885055,-1
6286.29,0.2247056,0.000789642,1
6281.33,0.225681053,0.004905074,1
6250.67,0.249654764,-0.003748691,-1
6274.19,0.247115217,-0.000272471,-1
6275.9,0.264657747,0.003691135,1
6252.82,0.2533968,0.000744218,1
6248.17,0.228690918,0.00021611,1
6246.82,0.196194438,0.000908486,1
6241.15,0.265436069,-0.000402008,-1
6243.66,0.254230651,0.002726975,1
6226.68,0.313489928,0.002842634,1
6209.03,0.273177004,-0.00308754,-1
6228.26,0.235273872,0.000175039,1
6227.17,0.280786315,0.000703864,1
6222.79,0.277952475,-0.000862213,-1
6228.16,0.284492339,-0.000629003,-1
6232.08,0.246664047,0.002025893,1
6219.48,0.117675417,-0.004231569,-1
6245.91,0.275901881,-0.000115262,-1
6246.63,0.236503066,-0.001084208,-1
6253.41,0.258810865,0.003785015,1
6229.83,0.232545382,-0.000555084,-1
6233.29,0.231612663,0.000807609,1
6228.26,0.215770615,0.004619638,1
6199.62,0.259079933,0.002430234,1
6184.59,0.241784753,-0.010828033,-1
6252.29,0.269805863,-0.00435376,-1
6279.63,0.269178953,0.000894164,1
6274.02,0.269473061,0.00036194,1
6271.75,0.235402678,0.001504232,1
6262.33,0.267124187,0.002059378,1
6249.46,0.288155865,-0.005733832,-1
6285.5,0.274491089,0.005041598,1
6253.97,0.292194953,0.001521346,1
6244.47,0.277129774,-0.000424195,-1
6247.12,0.308776364,-0.000761371,-1
6251.88,0.311040928,6.39812E-06,1
6251.84,0.294162322,0.000728316,1
6247.29,0.317477651,-0.001397052,-1
6256.03,0.283259674,-0.000273262,-1
6257.74,0.289701604,0.000823659,1
