Time,Polarity,Subjectivity,Open,Close,High,Low,VolumeCoin,VolumeUSD,S&P500 Close,S&P500 Volume,USDEuro
2019-07-23 11:15,0.03409090909090909,0.11363636363636363,211.4,211.09,211.71,210.94,1344.55,284047.95,2992.5400,15674365,
2019-07-23 11:20,0.03409090909090909,0.11363636363636363,211.09,211.02,211.14,210.81,716.01,151044.65,2993.7000,14859269,
2019-07-23 11:25,0.03409090909090909,0.11363636363636363,211.02,210.75,211.17,210.72,1024.04,215897.51,2994.6001,19292761,
2019-07-23 11:30,0.03409090909090909,0.11363636363636363,210.75,210.75,210.75,210.62,621.7,130994.9,2992.5300,16860362,
2019-07-23 11:35,0.03409090909090909,0.11363636363636363,210.75,211.02,211.05,210.73,1392.02,293457.49,2990.4700,16303305,
2019-07-23 11:40,0.03409090909090909,0.11363636363636363,211.02,210.73,211.18,210.68,586.91,123898.46,2991.4199,15210377,
2019-07-23 11:45,0.03409090909090909,0.11363636363636363,210.73,210.5,210.73,210.49,645.04,135810.48,2990.9800,15938889,
2019-07-23 11:50,0.03409090909090909,0.11363636363636363,210.5,210.6,210.84,210.48,1157.66,243778.65,2990.3701,14894931,
2019-07-23 11:55,0.03409090909090909,0.11363636363636363,210.6,209.75,210.62,209.7,3000.73,629940.8,2991.1101,14281071,
2019-07-23 12:00,0.03409090909090909,0.11363636363636363,209.75,209.64,209.75,209.02,2762.4,578186.17,2990.4299,15455828,
2019-07-23 12:05,0.03409090909090909,0.11363636363636363,209.64,210.48,210.97,209.64,5399.84,1137670.26,2989.6499,16473947,
2019-07-23 12:10,0.03409090909090909,0.11363636363636363,210.48,210.44,210.48,209.87,1187.2,249473.69,2990.5300,13872108,
2019-07-23 12:15,0.03409090909090909,0.11363636363636363,210.44,210.28,210.44,210.22,296.12,62280.55,2991.2300,14640627,
2019-07-23 12:20,0.03409090909090909,0.11363636363636363,210.28,210.02,210.43,210.02,582.78,122527.37,2992.3000,16943225,
2019-07-23 12:25,0.03409090909090909,0.11363636363636363,210.02,210.01,210.07,209.62,573.46,120354.27,2993.0200,13369569,
2019-07-23 12:30,0.03409090909090909,0.11363636363636363,210.01,209.63,210.01,209.52,745.19,156169.43,2991.3501,13339992,
2019-07-23 12:35,0.03409090909090909,0.11363636363636363,209.63,210.66,210.71,209.63,1164.43,244697.5,2992.5500,13476653,
2019-07-23 12:40,0.03409090909090909,0.11363636363636363,210.66,211.24,211.67,210.65,745.13,157422.09,2993.0601,13093477,
2019-07-23 12:45,0.03409090909090909,0.11363636363636363,211.24,211.38,211.93,211.19,1208.28,255726.04,2993.4600,12977079,
2019-07-23 12:50,0.03409090909090909,0.11363636363636363,211.38,211.13,211.44,210.85,511.82,108051.74,2994.1699,12660118,
2019-07-23 12:55,0.03409090909090909,0.11363636363636363,211.13,211.26,211.3,211.13,738.47,156036.87,2993.3000,13818251,
2019-07-23 13:00,0.03409090909090909,0.11363636363636363,211.26,211.7,211.77,211.26,594.02,125733.49,2994.4399,13600000,
2019-07-23 13:05,0.03409090909090909,0.11363636363636363,211.7,211.37,211.76,211.35,869.67,184073.59,2993.6101,11640372,
2019-07-23 13:10,0.03409090909090909,0.11363636363636363,211.37,211.72,211.78,211.37,804.01,170133.64,2994.0801,13579001,
2019-07-23 13:15,0.03409090909090909,0.11363636363636363,211.72,211.61,211.73,211.53,563.92,119432.55,2994.3899,13796173,
2019-07-23 13:20,0.03409090909090909,0.11363636363636363,211.61,211.55,211.78,211.52,1707.02,361252.42,2994.8701,12626834,
2019-07-23 13:25,0.03409090909090909,0.11363636363636363,211.55,211.44,211.6,211.41,478.57,101213.69,2995.2900,12804632,
2019-07-23 13:30,0.03409090909090909,0.11363636363636363,211.44,211.23,211.47,211.23,1146.14,242486.0,2994.5801,11149773,
2019-07-23 13:35,-0.0076388888888888895,0.21180555555555555,211.23,211.2,211.74,211.2,1531.78,323802.06,2995.4199,12534110,
2019-07-23 13:40,0.04442340067340067,0.30656565656565654,211.2,211.17,211.29,211.14,172.95,36550.94,2995.4299,12336814,
2019-07-23 13:45,0.12303719008264463,0.4299586776859504,211.17,212.16,212.18,211.11,1266.27,268212.74,3001.1399,28149780,
2019-07-23 13:50,0.03409090909090909,0.11363636363636363,212.16,212.06,212.16,211.88,1020.7,216357.44,3000.2100,51522110,
2019-07-23 13:55,0.03409090909090909,0.11363636363636363,212.06,212.05,212.09,211.91,226.51,48051.12,3000.3401,12896003,
2019-07-23 14:00,0.03409090909090909,0.11363636363636363,212.05,212.48,212.48,212.05,899.71,190930.69,3003.2200,19647720,
2019-07-23 14:05,0.037500000000000006,0.20833333333333334,212.48,214.94,215.13,212.47,7106.06,1523631.56,3001.6799,17080402,
2019-07-23 14:10,0.06958333333333333,0.26666666666666666,214.94,217.43,218.15,214.87,8347.47,1811820.42,3000.7600,14694911,
2019-07-23 14:15,0.1028219696969697,0.4186363636363636,217.43,217.02,217.74,216.85,2683.75,582894.77,3001.1399,11698395,
2019-07-23 14:20,0.07502164502164502,0.3390800865800866,217.02,217.33,217.47,216.81,2290.29,497352.31,3001.7900,16932252,
2019-07-23 14:25,0.04861111111111111,0.2009259259259259,217.33,217.62,217.79,217.04,1285.58,279458.73,3001.7400,14323538,
2019-07-23 14:30,0.058750000000000004,0.17333333333333334,217.62,218.17,219.1,217.62,4454.43,973706.98,3001.5901,12558193,
2019-07-23 14:35,0.030416666666666665,0.19055555555555553,218.17,217.38,218.33,217.25,1199.87,261215.34,3001.0000,14197084,
2019-07-23 14:40,0.06783333333333333,0.19466666666666668,217.38,216.95,217.38,216.69,1168.53,253428.61,3001.1699,13183127,
2019-07-23 14:45,0.09695767195767196,0.25661375661375657,216.95,217.03,217.1,216.72,468.84,101687.78,3002.5100,15099739,
2019-07-23 14:50,0.025,0.125,217.03,216.78,217.04,216.73,891.09,193250.5,3003.2200,16576420,
2019-07-23 14:55,0.14809050324675327,0.33852813852813857,216.78,216.85,217.07,216.63,991.46,215122.37,3003.6699,17406736,
2019-07-23 15:00,0.07125000000000001,0.2783333333333334,216.85,217.51,218.32,216.8,2419.28,527614.04,3004.0300,15041692,
